商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
顽皮Wanpy 鸡肉口味狗罐头375g,¥9.00,¥9.90,5.0,1233,0,//img-new.boqiicdn.com/Data/Shop/0/5/584/shoppicpath11597828750_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-584.html,112504,375g,,,成犬,,鸡肉,24个月,0.44KG,￥9.9
顽皮Wanpy 鸡肉蔬菜狗罐头375g,¥9.00,¥9.90,5.0,334,1,//img-new.boqiicdn.com/Data/Shop/0/5/585/shoppicpath11597830000_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-585.html,112509,375g,,,成犬,,鸡肉,24个月,0.44KG,￥9.9
顽皮Wanpy 牛肉口味狗罐头375g,¥9.00,¥9.90,5.0,3360,3,//img-new.boqiicdn.com/Data/Shop/0/5/586/shoppicpath11597831416_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-586.html,112521,375g ,,,全犬种,,牛肉味,24个月,0.44KG,￥9.9
顽皮Wanpy 牛肉蔬菜狗罐头375g,¥9.00,¥9.90,4.9,388,3,//img-new.boqiicdn.com/Data/Shop/0/5/587/shoppicpath11597831704_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-587.html,112522,375g,,,成犬,,牛肉,24个月,0.44KG,￥9.9
顽皮Wanpy 鸡肉鳕鱼鲜封包猫湿粮 80g,¥4.50,¥5.40,4.9,576,0,//img-new.boqiicdn.com/Data/Shop/0/5/591/shoppicpath11597912413_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-591.html,142520,80g,,,成猫,,鸡肉鳕鱼,2年,0.09KG,￥5.4
顽皮Wanpy 鸡肉蟹肉鲜封包猫湿粮 80g,¥4.50,¥5.40,5.0,422,0,//img-new.boqiicdn.com/Data/Shop/0/5/593/shoppicpath11597913540_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-593.html,142519,80g,,,猫,,鸡肉蟹肉,2年,0.08KG,￥5.4
顽皮Wanpy 鸡肉虾仁鲜封包猫湿粮 80g,¥4.50,¥5.40,4.9,503,0,//img-new.boqiicdn.com/Data/Shop/0/5/595/shoppicpath11597913843_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-595.html,142517,80g,,,猫,,鸡肉虾仁,2年,0.09KG,￥5.4
顽皮Wanpy 鸡肉蔬菜鲜封包狗湿粮 80g,¥4.50,¥5.40,4.8,501,1,//img-new.boqiicdn.com/Data/Shop/0/5/597/shoppicpath11597914195_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-597.html,112523,80g ,,,全犬,,鸡肉 ,24个月,0.11KG,￥5.4
顽皮Wanpy 猪肉蔬菜鲜封包狗湿粮 80g,¥4.50,¥5.40,4.8,327,0,//img-new.boqiicdn.com/Data/Shop/0/5/599/shoppicpath11597914483_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-599.html,112527,80g,,,成犬,,猪肉蔬菜,24个月,0.11KG,￥5.4
顽皮Wanpy 牛蹄筋蔬菜鲜封包狗湿粮 80g,¥4.50,¥5.40,4.8,589,0,//img-new.boqiicdn.com/Data/Shop/0/6/600/shoppicpath11517377536_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-600.html,112524,80g,,,犬,,牛肉,24个月,0.11KG,￥5.4
顽皮Wanpy 鸡肉牛肉鲜封包幼犬用狗湿粮 80g,¥4.50,¥5.40,4.9,364,1,//img-new.boqiicdn.com/Data/Shop/0/6/622/shoppicpath11597917035_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-622.html,112538,80g,,,犬,,鸡肉,24个月,0.09KG,￥5.4
顽皮Wanpy 鸡肉鸡胗鲜封包幼犬用狗湿粮 80g,¥4.50,¥5.40,4.9,238,0,//img-new.boqiicdn.com/Data/Shop/0/6/623/shoppicpath11597918542_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-623.html,112537,80g,,,幼犬,,鸡肉鸡胗,24个月,0.09KG,￥5.4
伟嘉 精选牛肉成猫妙鲜包 85g,¥3.90,¥4.30,4.8,929,0,//img-new.boqiicdn.com/Data/Shop/0/7/712/shoppicpath11582099211_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-712.html,142107,85g,,,成猫,,牛肉,24个月,0.09KG,￥4.3
康多乐 成犬粮鸡肉肝蔬菜狗粮1.5kg,¥38.90,¥0.00,5.0,446,0,//img-new.boqiicdn.com/Data/Shop/0/7/714/shoppicpath11618454911_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-714.html,101207,1.5kg ,鸡肉粉、 鸡油、 鸡水解粉、 玉米,粗蛋白≥23.0%、粗脂肪≥10%、粗纤维≤4.0%、粗灰分≤1,成犬,标准颗粒,鸡肉,18个月,1.50KG,￥0.0
康多乐 幼犬粮活力幼犬发育成长配方狗粮1.4kg,¥38.90,¥0.00,4.9,565,0,//img-new.boqiicdn.com/Data/Shop/0/7/716/shoppicpath11545891864_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-716.html,101211,1.4kg,小麦、玉米、牛肉骨粉,粗蛋白质≥25%、粗纤维≤4.5%、钙≥1.2%,幼犬,标准颗,牛肉,18个月,1.54KG,￥0.0
康多乐牛肉肝蔬菜成犬粮狗粮1.5kg,¥38.90,¥0.00,4.9,650,0,//img-new.boqiicdn.com/Data/Shop/0/7/717/shoppicpath11539866357_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-717.html,101208,1.5KG,肉类及其副产品（鸡肉、牛肉）、牛脂肪、原粒谷物（玉米、小麦）,粗蛋白≥23%，粗脂肪≥10%，钙≥0.9%，水份≤12%,成犬,适中,牛肉•肝及蔬菜,18个月,1.50KG,￥0.0
康多乐 幼犬粮活力幼犬发育成长配方狗粮15kg,¥289.00,¥317.90,4.9,959,7,//img-new.boqiicdn.com/Data/Shop/0/7/720/shoppicpath11545892264_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-720.html,101205,15kg,小麦、玉米、豆粕,粗蛋白质≥25%、粗脂肪≥12%、钙≥1.2%,幼犬,标准粒,鸡肉,18个月,15.18KG,￥317.9
康多乐 成犬粮鸡肉肝蔬菜狗粮15kg,¥289.00,¥317.90,5.0,998,1,//img-new.boqiicdn.com/Data/Shop/0/7/722/shoppicpath11540550821_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-722.html,101201,15kg,鸡肉粉、鸡油、鸡水解粉、玉米、小麦,粗蛋白23%、粗脂肪10%、钙0.9%、磷0.7%,成犬,标准,鸡肉,18个月,15.00KG,￥317.9
普瑞纳 专业高蛋白配方成犬粮 15kg,¥379.00,¥416.90,5.0,961,7,//img-new.boqiicdn.com/Data/Shop/0/7/723/shoppicpath11540950763_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-723.html,101203,15kg,牛肉骨粉、鸡肉粉、鸡肝脏粉、牛油、鸡油,粗蛋白质≥27%、粗脂肪≥15%、粗纤维≤5.0%、粗灰分≤9%,成犬,标准颗粒,牛肉,18个月,15.00KG,￥416.9
法国皇家Royal Canin 泰迪贵宾成犬粮 7.5kg,¥578.00,¥635.80,5.0,1497,9,//img-new.boqiicdn.com/Data/Shop/0/7/739/shoppicpath11561539758_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-739.html,100129,7.5kg,稻米、脱水家禽肉、脱水家禽肝脏、酵母、微量元素等,粗蛋白≥28%、粗脂肪≥13%、赖氨酸≥0.8%、钙≥1.1%、,10月龄以上贵宾成犬,适中颗粒,禽肉混合口味,18个月,7.64KG,￥635.8
法国皇家Royal Canin 室内成猫粮 10kg i27,¥618.00,¥679.80,5.0,5992,6,//img-new.boqiicdn.com/Data/Shop/0/7/741/shoppicpath11566290310_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-741.html,130143,10KG,大米、小麦、小麦粉、禽肉骨粉、鸡油、牛油、纤维素、矿物质及维生素,粗蛋白质≥24%，粗脂肪≥11%，水分≤11%，粗灰分≤9%，粗,1-7岁成年猫,适中,鸡肉,18个月,10.17KG,￥679.8
法国皇家 孕猫及12个月以下幼猫粮 K36 10kg,¥600.00,¥660.00,5.0,11911,10,//img-new.boqiicdn.com/Data/Shop/0/7/742/shoppicpath11616396556_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-742.html,130165,,鸡肉粉、鸡肉骨粉、鸭肉粉、鸭肉骨粉、大米、小麦、谷脘粉、鱼油、鸡,粗蛋白≥33%、粗脂肪≥15.8%、钙≥0.96%,幼猫,标准粒,鸡肉,18个月,10.17KG,￥660.0
法国皇家Royal Canin 孕猫及12个月以下幼猫粮  2kg K36,¥159.00,¥174.90,4.9,6330,3,//img-new.boqiicdn.com/Data/Shop/0/8/810/shoppicpath11616397459_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-810.html,130167,2kg,鸡肉粉、鸡肉骨粉、鸭肉粉、鸭肉骨粉、大米、小麦、谷脘粉、鱼油、鸡,粗蛋白≥33%、粗脂肪≥15.8%、钙≥0.96%,幼猫,标准粒,鸡肉,18个月,2.00KG,￥174.9
法国皇家ROYAL CANIN 室内成猫粮4kg i27,¥209.00,¥250.80,4.9,922,4,//img-new.boqiicdn.com/Data/Shop/0/8/813/shoppicpath11456384637_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,成猫粮,https://shop.boqii.com/product-813.html,130142,,,,,,,,4.00KG,￥250.8
它它TouchDog 牛奶味除臭饼干狗零食 200g,,,4.8,402,1,//img-new.boqiicdn.com/Data/Shop/0/8/884/shoppicpath11517380549_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-884.html,124620,200g,,,全犬种,,牛奶味,18个月,0.20KG,￥13.4
它它TouchDog 牛奶味小馒头训练奖励狗零食 100g,,,4.8,313,1,//img-new.boqiicdn.com/Data/Shop/0/8/887/shoppicpath11517380573_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-887.html,124621,100g,,,全犬种,,牛奶味,18个月,0.10KG,￥12.3
它它TouchDog 杂锦罐装磨牙防口臭饼干狗零食 1kg,¥38.00,¥45.60,4.8,2618,13,//img-new.boqiicdn.com/Data/Shop/0/8/893/shoppicpath11540537531_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,奶酪饼干,https://shop.boqii.com/product-893.html,124622,1kg,,,犬,,牛奶水果,18个月,1.20KG,￥45.6
康多乐 成犬粮牛肉肝蔬菜狗粮 15kg,¥289.00,¥317.90,4.9,1693,9,//img-new.boqiicdn.com/Data/Shop/0/9/938/shoppicpath11540550772_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-938.html,101202,15kg,鸡肉粉、牛肉骨粉、牛脂肪、玉米、小麦、大豆、维生素、矿物质、氨基,粗蛋白≥23%、粗脂肪≥10%、钙≥0.9%、总磷≥0.7%、赖,成犬,适中颗粒,牛肉•肝及蔬菜味,18个月,15.18KG,￥317.9
它它TouchDog 鸡肉黄金洁牙骨咬胶5支装洁齿磨牙狗零食 50g,,,4.8,423,1,//img-new.boqiicdn.com/Data/Shop/0/11/1198/picpath21336895366_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,磨牙洁齿,https://shop.boqii.com/product-1198.html,124613,50g（5支）,,,全犬,,鸡肉,,0.04KG,￥7.7
法国皇家Royal Canin 拉布拉多幼犬粮 3kg*4包,,,4.9,357,0,//img-new.boqiicdn.com/Data/Shop/0/12/1238/shoppicpath11617160204_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1238.html,100134,3kg*4,禽肉骨粉、小麦、大米,粗蛋白质≥30%、粗脂肪≥12%、钙≥0.8%,拉布拉多幼犬,标准粒,鸡肉,18个月,13.33KG,￥804.1
法国皇家Royal Canin 拉布拉多成犬粮 3kg*4包,,,5.0,542,2,//img-new.boqiicdn.com/Data/Shop/0/12/1240/shoppicpath11584715182_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1240.html,100133,3kg*4,禽肉骨粉、大米、小麦,粗蛋白质≥27%、粗脂肪≥11%、钙≥0.8%,拉布拉多成犬,标准粒,鸡肉,18个月,12.19KG,￥734.8
法国皇家Royal Canin 金毛成犬粮 14kg (3.5kg*4包),¥811.00,¥892.10,5.0,1041,9,//img-new.boqiicdn.com/Data/Shop/0/12/1241/shoppicpath11584714804_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1241.html,100131,3.5kg*4,小麦、禽肉骨粉、大米,粗蛋白质≥22%、粗脂肪≥11%、钙≥0.64%,金毛成犬,标准粒,鸡肉,18个月,15.34KG,￥892.1
法国皇家Royal Canin 金毛幼犬粮 14kg(3.5kg*4包),¥851.00,¥936.10,4.8,797,13,//img-new.boqiicdn.com/Data/Shop/0/12/1243/shoppicpath11617159804_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1243.html,100132,3.5kg*4,小麦、鸡肉粉、鸡肉骨粉、鸭肉粉,粗蛋白≥22%，粗脂肪≥11% ，钙≥0.64%，磷≥0.53%,金毛幼犬,小颗粒,鸡肉鸭肉,18个月,15.35KG,￥936.1
顽皮Wanpy 鸡肉鲜封包猫湿粮 80g 猫零食,¥4.50,¥5.40,4.9,265,0,//img-new.boqiicdn.com/Data/Shop/0/12/1280/shoppicpath11597746363_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-1280.html,142518,100g,,,猫,,鸡肉,2年,0.11KG,￥5.4
伟嘉 精选海洋鱼妙鲜包成猫湿粮包 85g,¥3.90,¥4.30,4.8,1099,1,//img-new.boqiicdn.com/Data/Shop/0/12/1282/shoppicpath11582098587_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-1282.html,142102,85g,,,成猫,,海洋鱼,24个月,0.09KG,￥4.3
伟嘉 精选牛肉妙鲜包幼猫湿粮 85g,¥3.90,¥4.30,4.9,823,0,//img-new.boqiicdn.com/Data/Shop/0/12/1283/shoppicpath11582100002_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-1283.html,142114,85g,,,幼猫,,牛肉,2年,0.10KG,￥4.3
宝路Pedigree 牛肉高汤口味成犬妙鲜包  100g 狗湿粮,¥3.90,¥4.30,4.8,2166,2,//img-new.boqiicdn.com/Data/Shop/0/13/1392/shoppicpath11584500251_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-1392.html,111809,100g ,,,成犬,,牛肉,2年,0.11KG,￥4.3
福来恩 犬用体外驱虫滴剂 小型犬10kg以下 整盒3支装/3个月剂量 法国进口,¥210.00,¥252.00,5.0,12132,14,//img-new.boqiicdn.com/Data/Shop/0/13/1399/shoppicpath51599016470_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1399.html,178405,,,,小型犬,,,3年,0.04KG,￥252.0
福来恩 犬用体外驱虫滴剂 中型犬10-20kg  单支/1个月剂量 法国进口,¥87.00,¥105.00,4.9,2497,8,//img-new.boqiicdn.com/Data/Shop/0/14/1405/shoppicpath11599016835_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1405.html,178410,,,,10-20kg中型犬,,,3年,0.03KG,￥105.0
宝路Pedigree 鸡肝高汤口味成犬妙鲜包 100g 狗湿粮,¥3.90,¥4.30,4.9,661,0,//img-new.boqiicdn.com/Data/Shop/0/14/1408/shoppicpath11583829259_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-1408.html,111808,100g,,,1岁及以上成犬,,鸡肉鸡肝,2年,0.11KG,￥4.3
宝路Pedigree 鸡肉风味成犬妙鲜包 100g 狗湿粮,¥3.90,¥4.30,4.8,1222,1,//img-new.boqiicdn.com/Data/Shop/0/14/1409/shoppicpath11583829060_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-1409.html,111807,100g,,,成犬,,鸡肉,24个月,0.11KG,￥4.3
宝路Pedigree 鸡肉豌豆口味成犬粮 10kg,¥220.00,¥276.72,4.9,467,6,//img-new.boqiicdn.com/Data/Shop/0/14/1410/shoppicpath11595924988_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-1410.html,101811,10kg,肉类、鸡肉粉、豌豆,粗蛋白质≥18%，粗脂肪≥11%，钙≥0.8%,成犬,小颗粒,鸡肉豌豆,18个月,10.21KG,￥276.7
伟嘉 海洋鱼味低盐清淡成猫粮 1.3kg,¥42.90,¥47.20,4.8,852,0,//img-new.boqiicdn.com/Data/Shop/0/14/1411/shoppicpath11582092651_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-1411.html,132104,1.3kg,鸡肉粉、牛骨粉、谷物、玉米蛋白粉、动物脂肪、维生素、矿物质等,粗蛋白≥27%、粗脂肪≥10%、牛磺酸≥0.1%、钙≤1.8%、,成猫,标准颗粒,海洋鱼味,18个月,1.34KG,￥47.2
福来恩 犬用体外驱虫滴剂 小型犬10kg以下 单支/1个月剂量 法国进口,¥78.00,¥93.60,4.9,7225,36,//img-new.boqiicdn.com/Data/Shop/0/14/1414/shoppicpath11599015518_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-1414.html,178404,,,,小型犬,,,3年,0.03KG,￥93.6
