用户昵称,评分,内容,商品链接
m***4,5分,这个狗粮很不错，我家狗狗从小就吃这个牌子，而且每次都是从波奇网买的，信任波奇网的东西。这次赶上搞活动，充值黑卡还送了好几十真是太合适。下次还会来的。希望以后经常能有活动。超级好评！  ,https://shop.boqii.com/product-187.html
m***4,5分,一直购买波奇网的皇家狗粮，狗狗挺爱吃的，主要是我对波奇网的狗狗食品比较放心。下次搞活动还会来买的。  ,https://shop.boqii.com/product-187.html
我***球,5分,秒杀抢的，划算，换了好多狗粮，狗子就爱吃这个，拿出来就跑去贴着，知道是自己的口粮  ,https://shop.boqii.com/product-187.html
m***4,5分,一直就买皇家狗粮，狗狗很爱吃。趁着搞活动买了一袋大包装的，够狗狗吃一阵子了。信任波奇网的东西，吃完还会回购的。  ,https://shop.boqii.com/product-187.html
m***3,5分,已经给胖木买了很多很多次了，一如既往的好，会回购的  ,https://shop.boqii.com/product-187.html
l***e,5分,这个我们家狗不怎么吃。一小袋汤很多料也挺足的。就是狗不爱吃。  ,https://shop.boqii.com/product-188.html
累***爸,5分,很棒的湿粮包，性价比很高，宝路很多年牌子了，性价比可以  ,https://shop.boqii.com/product-188.html
汤***悠,5分,真的很满意，波奇一直让人这么放心，发货又快，东西又便宜，希望波奇多多做更多活动，哈哈哈  ,https://shop.boqii.com/product-188.html
汤***嘛,5分,真的很满意，波奇一直让人这么放心，发货又快，东西又便宜，希望波奇多多做更多活动，哈哈哈  ,https://shop.boqii.com/product-188.html
m***6,5分,我儿子超级爱吃的，我也用手试过，很软，三个月可以吃  ,https://shop.boqii.com/product-188.html
哎***4,5分,物流很快，超赞。还没有给我家宝贝吃，如果他喜欢，下次一定还来，客服也特别的好，棒棒哒^_^  ,https://shop.boqii.com/product-188.html
m***7,5分,这个诱惑太大了！刚倒进去，还没拌匀，就伸出舌头抢着吃了。我没尝过，不知道是不是带咸味，不明白怎么就那么爱吃，看狗狗吃的那么欢，还得多备些啊，因为这一包实在太小了。  ,https://shop.boqii.com/product-188.html
黄***g,5分,不错不错不错不错不错不错  ,https://shop.boqii.com/product-188.html
m***1,5分,狗狗喜欢  ,https://shop.boqii.com/product-188.html
周***官,5分,包装完好无破损，还没有喂，今晚加餐  ,https://shop.boqii.com/product-188.html
m***6,5分,还可以，我家狗狗对这种不是感兴趣，更喜欢吃家里水煮的  ,https://shop.boqii.com/product-188.html
六***崽,5分,味道很香，狗狗很爱吃，一打开就冲过来了。  ,https://shop.boqii.com/product-188.html
m***2,5分,吃过以后拉的屎真的好臭?在外面我还要把屎擦干净 简直不能忍受  ,https://shop.boqii.com/product-188.html
锦***海,5分,一直在波奇网买猫粮和罐头，这次妙鲜包包装时就拿透明胶带缠，就不能用气泡塑料包完再缠胶带吗？拆费劲不说妙鲜包上全是胶带胶都粘手？  ,https://shop.boqii.com/product-192.html
我***真,5分,当零食很好，猫咪超级喜欢。闻起来味道也不错  ,https://shop.boqii.com/product-192.html
m***4,5分,很满意 这次活动有优惠 屯了好多！猫咪很喜欢！一直来买的！  ,https://shop.boqii.com/product-192.html
嘎***子,5分,换种口味买，牛肉的，鲜肝的，鸡肉的，免得猫子们吃腻了口味。  ,https://shop.boqii.com/product-192.html
m***9,5分,品质优良，价格实惠，配送快速，萌宠囤货首选  ,https://shop.boqii.com/product-192.html
m***9,5分,非常好吃，非常合意～东西优惠又实用，太棒了  ,https://shop.boqii.com/product-192.html
m***3,5分,一直在这儿买，方便好用发货快。  ,https://shop.boqii.com/product-192.html
m***5,5分,挺满意的，价格实惠，我家琪琪吃个不停，很喜欢  ,https://shop.boqii.com/product-192.html
媚***丝,5分,妙鲜包收到了活动买的很划算么么哒猫咪喜欢吃  ,https://shop.boqii.com/product-192.html
…***9,5分,特别爱吃，猫本来不喜欢吃猫粮，把汁倒进去，猫粮一下吃光  ,https://shop.boqii.com/product-192.html
O***D,5分,还没给猫猫吃，不够看着挺好的。  ,https://shop.boqii.com/product-192.html
豆***妈,5分,猫猫很喜欢吃伟嘉猫粮，妙鲜包，有活动赶紧囤货。  ,https://shop.boqii.com/product-192.html
m***2,5分,波奇上买猫粮 便宜还放心 就是发货速度比较慢 不过都是提前买 也不急  ,https://shop.boqii.com/product-192.html
李***丶,5分,一次买了很多种类，价格很实惠。不知道喵喵会喜欢哪种  ,https://shop.boqii.com/product-194.html
m***9,5分,还是好的，猫猫很爱吃，每顿都加，不加都不吃猫粮了。主子：我已经变成挑食的陛下了  ,https://shop.boqii.com/product-194.html
m***5,5分,物流快，服务贴心。5包妙鲜包，非常仔细地用塑料泡沫包裹好装起来的，出乎意料啊。  ,https://shop.boqii.com/product-194.html
m***1,5分,喂流浪小猫咪的，挺不错，价格实惠  ,https://shop.boqii.com/product-194.html
m***0,5分,宝贝很喜欢肉肉，吃的很香，希望多多搞活动  ,https://shop.boqii.com/product-194.html
P***s,5分,我的心里只有波奇我的心里只有波奇我的心里只有波奇我的心里只有波奇我的心里只有波奇  ,https://shop.boqii.com/product-194.html
m***9,5分,非常好吃，非常合意～东西优惠又实用，太棒了  ,https://shop.boqii.com/product-194.html
m***7,5分,只能说这只猫是幸福的，流浪的猫变成家养猫，有吃有玩，温饱零食都不缺！  ,https://shop.boqii.com/product-194.html
w***牛,5分,还没有给九月吃，但是感觉很好，这种东西就是要多尝试，试出最适合的一种  ,https://shop.boqii.com/product-194.html
蘑***官,5分,猫咪特别喜欢吃。里面是一模一样大小的块状物。  ,https://shop.boqii.com/product-194.html
h***猫,5分,猫猫见到伟嘉湿猫粮很激动很喜欢吃  ,https://shop.boqii.com/product-194.html
賣***娘,5分,还没打开就吸引了小可爱注意力，吃的也很开心，明明都吃过了猫粮没想到又吃完了一份。可以放心买给小可爱当零食。  ,https://shop.boqii.com/product-194.html
m***1,5分,猫咪特别喜欢吃！好评好评！  ,https://shop.boqii.com/product-194.html
m***8,5分,波奇App就是经济实惠省钱，皇家狗粮不愧是口碑很好的一款狗粮，我家海豹吃了长个，毛发亮亮的，下次会继续回购  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-485.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
豆***妞,5分,秒杀的一如既往的好，放心用。会继续回购。很好。  ,https://shop.boqii.com/product-487.html
m***9,5分,发货快，包装完好无损！波奇网宠物网真的非常专业！泡奶粉给小狗吃，也不挑食，吃完再来，物美价廉，也谢谢客服人员耐心解答我的问题！推荐给大家！  ,https://shop.boqii.com/product-487.html
妞***5,5分,不错不错不错，是正品，质量很好，狗子很喜欢吃！  ,https://shop.boqii.com/product-487.html
撕*,5分,皇家猫粮特别不错，我家的从生下来就吃幼猫猫粮，大了就吃成年猫粮，没有换过品牌！都四年了  ,https://shop.boqii.com/product-497.html
m***7,5分,我是长期购买此猫粮，我们家猫咪吃的很好，以后继续购买。  ,https://shop.boqii.com/product-497.html
六***莓,5分,应该买幼猫粮的，结果没注意买了成猫粮，最重要的是，还是拆开才注意到是成猫粮！不过看猫挺喜欢吃的，但还是留着等猫猫长大再吃吧  ,https://shop.boqii.com/product-497.html
点***丁,5分,我家猫咪爱吃 以前买的最近不爱吃了 猫咪也瘦了 千挑万选的这一款特别爱吃  ,https://shop.boqii.com/product-497.html
h***i,5分,怕春节快递休假，赶紧再给主子囤一袋吧，别饿着??  ,https://shop.boqii.com/product-497.html
日***关,5分,最终确定我家猫咪还是认皇家，别的牌子不太爱吃  ,https://shop.boqii.com/product-497.html
金***绿,5分,多年多次购买，吃过普通款猫粮，减肥粮食，不论哪一个都是皇家品牌，它们也比较适应。  ,https://shop.boqii.com/product-497.html
爱***子,5分,礼盒一公斤装的，吃着方便，天热了，大袋子不好存放了。  ,https://shop.boqii.com/product-497.html
金***绿,5分,稍微有点油，不过也还好，经常吃这款，没什么问题。  ,https://shop.boqii.com/product-497.html
m***1,5分,我家主子吃这个猫粮两年多了。肠胃好。。好评一个  ,https://shop.boqii.com/product-497.html
跳***豆,5分,猫咪很爱吃，已经快吃完了才来评论，就是想看看效果。猫咪吃了以后没有任何不良反应，排便很正常。又买了一包，打算常吃这款了。  ,https://shop.boqii.com/product-497.html
m***2,5分,没吃过这么贵的猫粮，真没出息倒了多少吃了多少  ,https://shop.boqii.com/product-497.html
m***1,5分,粮很不错，我家喵宝儿很喜欢。赞赞赞赞赞赞赞赞赞赞赞！  ,https://shop.boqii.com/product-497.html
w***宫,5分,一直在波奇买猫粮和罐头，发货快，主子爱吃，非常好！  ,https://shop.boqii.com/product-497.html
m***2,5分,还没吃，不知猫猫的喜好度。好吃的话再来回购。谢谢。  ,https://shop.boqii.com/product-500.html
m***7,5分,这个猫粮吃了好久了，猫咪比较喜欢吃，适口性挺好  ,https://shop.boqii.com/product-500.html
m***6,5分,这款猫粮一如既往的好，我家猫咪3岁了，一直都在吃皇家猫粮，必须5分好评！  ,https://shop.boqii.com/product-500.html
m***3,5分,皇家猫粮是一直以来的选择，值得信赖，小宝贝吃的很放心~波奇价格优惠，会继续回购...  ,https://shop.boqii.com/product-500.html
m***8,5分,这个快递真的是醉了，简直无法形容，坏了也没有任何说法  ,https://shop.boqii.com/product-500.html
狸***咪,5分,很幸运中了大额优惠券，买了很多东西，猫咪很喜欢。  ,https://shop.boqii.com/product-500.html
m***3,5分,"主子的猫粮一直信赖波奇，完全可以放心食用，换了几款，还是钟爱F32,吃了没有不良反应，非常好，物流超快，好评  ",https://shop.boqii.com/product-500.html
夜*,5分,猫咪现在还不怎么吃 估计不适应新粮 等等它吃了再说~  ,https://shop.boqii.com/product-500.html
a***9,5分,什么都好，小贪心一点：要是每次如果有小零食赠送就更完美啦！哈哈  ,https://shop.boqii.com/product-500.html
G***Z,5分,皇家理想体态猫粮，俺家五只纯种宝贝的最爱！  ,https://shop.boqii.com/product-500.html
G***Z,5分,皇家猫粮理想体态，俺家五只纯种宝贝的最爱！  ,https://shop.boqii.com/product-500.html
t***7,5分,就不一一评论了，发货到货只用了两天非常快，猫粮不错，它终于肯吃东西了！  ,https://shop.boqii.com/product-500.html
m***3,5分,想给主子们换个口味尝尝，猫粮，我就信任皇家！  ,https://shop.boqii.com/product-500.html
猫*,5分,皇家猫粮品质有保证，家里猫咪有四只，日常干粮基本就是选皇家，经常吃点去毛球猫粮有助猫咪健康。  ,https://shop.boqii.com/product-508.html
猫*,5分,包装完好，家里猫咪有五只，都不爱吃猫草和化毛膏，皇家去毛钱猫粮还都能接受，所以每天都搭配吃一些 长期坚持吃肯定会有作用的。  ,https://shop.boqii.com/product-508.html
猫*,5分,很奇怪，家里的四个猫咪都不爱吃猫草和化毛膏，只好日常搭配这款去毛球的皇家猫粮，长期坚持吃会有一定效果。  ,https://shop.boqii.com/product-508.html
m***8,5分,家里这只猫，从小就吃这款猫粮喂养的，白胖白胖的  ,https://shop.boqii.com/product-508.html
猫*,5分,家里猫咪多，都不爱吃化毛膏，皇家品质不错，这款猫粮经常搭配吃，有一定效果。  ,https://shop.boqii.com/product-508.html
猫*,5分,包装完好，皇家猫粮一直都是我家四个猫咪的日常首选，质量信得过。  ,https://shop.boqii.com/product-508.html
龙***苗,5分,这季节就给猫猫们换这款猫粮，猫猫们吃的挺香的  ,https://shop.boqii.com/product-508.html
猫*,5分,包装完好，皇家猫粮一直都是我家四个猫咪干粮首选，都不爱吃猫草和化毛膏，平时搭配去毛球干粮很有必要，好在都爱吃。  ,https://shop.boqii.com/product-508.html
猫*,5分,包装完好，皇家猫粮品质不错，家里猫咪多，一直都是首选皇家和冠能猫粮，四个都不爱吃猫草和化毛膏，经常搭配吃这款去毛球猫粮，能帮助减少毛球形成，促进毛发排出。  ,https://shop.boqii.com/product-508.html
猫*,5分,家里猫咪多，都不爱吃猫草和化毛膏，所以平时就添加去毛球的皇家功能粮。好品质。  ,https://shop.boqii.com/product-508.html
D***n,5分,小宝的口粮，又帮她补货了，早上小家伙看到那个兴奋的满房间跑来跑去的。  ,https://shop.boqii.com/product-508.html
猫*,5分,包装完好，家里猫咪多，要经常吃去毛球猫粮，有助于消化。  ,https://shop.boqii.com/product-508.html
猫*,5分,皇家猫粮和冠能猫粮一直是我给家里猫咪首选的，家里四个猫咪一直吃皇家和冠能系列猫粮。去毛球猫粮对促进猫咪排毛有一定作用。  ,https://shop.boqii.com/product-508.html
m***3,5分,买了主要是喂楼下的流浪猫的，结果家里的猫也喜欢吃  ,https://shop.boqii.com/product-530.html
m***0,5分,一直吃这个牌子的猫粮，猫猫很喜欢，最喜欢的还是和这个牌子的湿粮拌匀吃  ,https://shop.boqii.com/product-530.html
m***1,5分,日期挺新的，今年七月份的，包装也很新。非常好  ,https://shop.boqii.com/product-530.html
雪***空,5分,很棒哦，小猫吃得肥墩墩的，哈哈…服务态度也好，赞！  ,https://shop.boqii.com/product-530.html
m***8,5分,质量到是没问题，就是现在拍东西自己掏快递费了！  ,https://shop.boqii.com/product-530.html
豆***妈,5分,特价抢购价格便宜，小区流浪猫多吃不起贵粮，便宜的比吃垃垃强  ,https://shop.boqii.com/product-530.html
m***3,5分,一直以来我家猫咪都是都是吃维嘉的猫粮、以后还会买、、好好  ,https://shop.boqii.com/product-530.html
梁***黑,5分,帮底楼邻居秒杀买的，她家猫一直吃这牌子的猫粮，非常好！  ,https://shop.boqii.com/product-530.html
ハ***シ,5分,主子一直吃这个牌子的，这次买了好几袋囤着。  ,https://shop.boqii.com/product-530.html
陶***生,5分,挺合算的，京东、淘宝都要39.5/袋呢，这里才29.9/袋，新用户还送-20券、和3个猫罐头，猫粮的有效期是2016年6、7、8月生产的，质保期18个月  ,https://shop.boqii.com/product-530.html
大***喵,5分,用豆很便宜，发货超快的  ,https://shop.boqii.com/product-530.html
雪***空,5分,打开包装袋就有淡淡香气传出，掰开一粒看看，夹心是满的，最重要的是，猫猫爱吃呀~赞！看它们吃饱就睡的幸福样( ´･ᴗ･` )  ,https://shop.boqii.com/product-530.html
m***4,5分,咪咪很爱吃。不错，很好。很便宜，发货也很快。  ,https://shop.boqii.com/product-530.html
m***0,5分,猫猫很喜欢，一直吃这个牌子的猫粮，和湿粮一起拌匀猫猫最喜欢，满意  ,https://shop.boqii.com/product-532.html
L***4,5分,一直吃的伟嘉的 从某宝转战APP 非常好 刮刮卡很给力  ,https://shop.boqii.com/product-532.html
豆***妈,5分,小区流浪猫多粮罐头消耗快，秒杀价很实惠，经常买买买  ,https://shop.boqii.com/product-532.html
酸***咚,5分,猫咪一直吃这个牌子，其余牌子不吃。很特别！  ,https://shop.boqii.com/product-532.html
m***2,5分,不知为何发货地从昆山改成了深圳，造成收货比以往晚了两天，还好家中尚有余粮。  ,https://shop.boqii.com/product-532.html
毛***4,5分,物流送货好快，小咪壮壮的不挑嘴，倒进食盆里就过来开吃了！  ,https://shop.boqii.com/product-532.html
乖***8,5分,还没拆封呢，不过伟嘉的狗粮以前买过，狗狗爱吃  ,https://shop.boqii.com/product-532.html
糯*,5分,有种味道和现在吃的一样的话，应该不会太拒绝吧  ,https://shop.boqii.com/product-532.html
m***4,5分,发货很快，包装很好，和皇家掺着喂的，猫咪爱吃  ,https://shop.boqii.com/product-532.html
杨***宝,5分,买来给主子们尝试一下，都挺喜欢的，掺着原来的粮一起吃  ,https://shop.boqii.com/product-532.html
m***6,5分,打开包装袋以后，主子立马跑过来闻，吃得很欢乐，主子表示很满意。  ,https://shop.boqii.com/product-532.html
m***6,5分,还好，以前猫咪吃的其它猫粮，换成这种没有抗拒。  ,https://shop.boqii.com/product-532.html
m***4,5分,发货速度很快，已经多次购买了，服务态度很棒呢  ,https://shop.boqii.com/product-532.html
嘎***子,5分,买来和其他便宜一点的粮混着喂流浪猫的，喂了很多小流浪，贵了吃不起，幸好波奇有秒杀活动，帮我省了不少。  ,https://shop.boqii.com/product-534.html
m***7,5分,波奇商城秒杀的，19元入手，比超市和其他网站都便宜，猫咪一直吃这个牌子，性价比高！  ,https://shop.boqii.com/product-534.html
小***咪,5分,发货快，到货也很快，转天就到了，可能是波奇在全国有多个货仓所以才能这么快！一直都有吃伟嘉的夹心酥，咪咪就喜欢吃夹心酥，换过几种都喜欢，不过还是最喜欢牛肉味的！！！这次看到有活动，真的很合适马上囤货！！购买的几种里其他日期都很新，只有这个日期稍微有点早！  ,https://shop.boqii.com/product-534.html
咕***！,5分,牛肉味的成猫粮，我家小咕唧可爱吃了！以后就到波奇网买猫粮犬粮！好评，给五星！  ,https://shop.boqii.com/product-534.html
雪***空,5分,很棒哦，小猫吃得肥墩墩的，哈哈…服务态度也好，赞！  ,https://shop.boqii.com/product-534.html
雪***空,5分,打开包装袋就有淡淡香气传出，掰开一粒看看，夹心是满的，最重要的是，猫猫爱吃呀~赞！看它们吃饱就睡的幸福样( ´･ᴗ･` )  ,https://shop.boqii.com/product-534.html
B***r,5分,发货速度很快，包装也完好，服务态度满意，挺好的  ,https://shop.boqii.com/product-534.html
酸***咚,5分,猫咪一直吃这个牌子，其余牌子不吃。很特别！  ,https://shop.boqii.com/product-534.html
m***9,5分,我家小朋友们也比较喜欢吃 但是没有优基的那么喜欢 哈哈哈  ,https://shop.boqii.com/product-534.html
猫***主,5分,好，东西到了，猫咪有他最爱猫粮吃了。  ,https://shop.boqii.com/product-534.html
m***8,5分,大惊失色时间地点记得记得大家都看得到你的你你你  ,https://shop.boqii.com/product-534.html
豆***2,5分,很好的购物体验，送货很快，日期好，很方便……  ,https://shop.boqii.com/product-534.html
m***3,5分,维嘉的猫粮我给猫咪换个口味就这样吧，比黄家猫粮便宜点  ,https://shop.boqii.com/product-534.html
点***妈,5分,狗友推荐这个好用，给我家狗狗补补，各种补的药都吃吃，希望对它健康有帮助  ,https://shop.boqii.com/product-562.html
W***d,5分,以前吃的both的鲨鱼软骨素 换了钙胃能 狗子不太喜欢吃  ,https://shop.boqii.com/product-562.html
小***豚,5分,之前大狗一直吃钙粉长大的 现在小狗继续吃 香香 包装的很好  ,https://shop.boqii.com/product-562.html
帅***酷,5分,毛毛很爱吃，包装很好哒，我看着都香甜的味道  ,https://shop.boqii.com/product-562.html
优***娘,5分,包装很好，物流快，日期很新哦，给家里狗子囤的，还没开始吃  ,https://shop.boqii.com/product-562.html
m***5,5分,发货速度特别快，昨天定的今天早上就已经到了，客服回复也快，第一次在网上买，希望狗狗可以吃得好  ,https://shop.boqii.com/product-562.html
初***2,5分,给收养的流浪狗娃补钙用，盆骨骨折了，希望帮助骨骼快点愈合恢复，早点长出新骨茬，左图都是赠品，右图是买的  ,https://shop.boqii.com/product-562.html
皮***子,5分,对于吃货来说 迟早会吃的。 而且急不可耐………  ,https://shop.boqii.com/product-562.html
哈***里,5分,用了很多营养品。听说钙胃能挺好就用了狗狗骨架有所变化了。吃了两天狗狗耳朵立的很快  ,https://shop.boqii.com/product-562.html
布***y,5分,一直在给狗狗吃，快吃完了，趁双十一再买一桶，狗狗正在换牙，需要补钙  ,https://shop.boqii.com/product-562.html
萨***妮,5分,希望狗狗快快长大，值得购买，也希望波奇能经常搞活动，  ,https://shop.boqii.com/product-562.html
m***5,5分,宠物医生推荐的，试试看能不能把狗子的耳朵立回起来  ,https://shop.boqii.com/product-562.html
小***妈,5分,阶段性的给宝贝补钙，一直用这个品牌，非常喜欢  ,https://shop.boqii.com/product-562.html
芝***门,5分,一直买这个牌子的  蛮好的  法斗肠胃脆弱的  ,https://shop.boqii.com/product-563.html
红***阳,5分,狗子胃肠不好，每年都买点吃一段时间，调理调理  ,https://shop.boqii.com/product-563.html
m***4,5分,听介绍说这款发育宝给小狗吃了调整肠胃功能的，所以小辛宝到家后看到有人拼单赶紧下单，希望小家伙能够健健康康的成长  ,https://shop.boqii.com/product-563.html
芝***嘛,5分,收到是铁罐直接印刷的，跟家里包装不一样，问朋友说有台湾大陆的区别，那就这样吧，没问题就好。  ,https://shop.boqii.com/product-563.html
夏***至,5分,毛孩子特别喜欢吃，每天两次，抵抗力棒棒的！还会继续回购！  ,https://shop.boqii.com/product-563.html
m***0,5分,一年到头吃也不知道有没有效果反正家里狗挺正常的！每次活动都买一堆，  ,https://shop.boqii.com/product-563.html
霸***撒,5分,查询了是正品 还会购买 一直在波奇给狗狗买东西 很放心  ,https://shop.boqii.com/product-563.html
小***咪,5分,家里的宝肠胃不好，整肠每天都要吃，效果一直不错，上次买的，快吃完了，遇到活动正好抢一个，反正保质期3年，可以屯点！！！  ,https://shop.boqii.com/product-563.html
L***n,5分,希望能把狗狗肠胃调理好，就是狗狗不爱吃益生菌  ,https://shop.boqii.com/product-563.html
小***咪,5分,挺好的，虽然包装简单，但没有任何磕碰！家中的宝天生肠胃不好，这款天天顿顿都要吃！  ,https://shop.boqii.com/product-563.html
H***生,5分,挺便宜的，不知道效果如何，狗吃先牧仕的发育素会吐，希望这个会好点。  ,https://shop.boqii.com/product-563.html
哈***里,5分,发育晚的应该吃吧。我家这个就是发育晚能多张点肉吃这个  ,https://shop.boqii.com/product-563.html
m***9,5分,刚吃了一次，感觉有效果，坚持吃下去再看一下  ,https://shop.boqii.com/product-563.html
阿***咘,5分,用过最好的外驱了，可以放心购买，绝对的正品，信赖波奇。  ,https://shop.boqii.com/product-571.html
m***5,5分,一直买的，一个月每只猫咪一支。相信福来恩，性价比高！  ,https://shop.boqii.com/product-571.html
m***0,5分,还没用过这个牌子的，回来用着感觉还不错，还会回购  ,https://shop.boqii.com/product-571.html
m***3,5分,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错  ,https://shop.boqii.com/product-571.html
m***5,5分,福来恩一直回购的，这次看见活动必须囤了。家里两只猫每月两支。  ,https://shop.boqii.com/product-571.html
m***5,5分,耶耶耶，第N次购买，常用款，挺好的，都不知道怎么品论了  ,https://shop.boqii.com/product-571.html
m***5,5分,非常好，性价比超高，一直在波奇买东西，是波奇忠实粉丝，秒杀很优惠  ,https://shop.boqii.com/product-571.html
m***5,5分,非常好，性价比超高，一直在波奇买东西，是波奇忠实粉丝，秒杀很优惠  ,https://shop.boqii.com/product-571.html
m***6,5分,一直用波奇店产品，质量稳定，到目前为止没有发现有假冒伪劣现象，已是果粉。  ,https://shop.boqii.com/product-571.html
球***r,5分,"真的超级喜欢，非常支持，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物  ",https://shop.boqii.com/product-571.html
葡*,5分,挺好的，猫咪在外面被传染了跳蚤使用一支，到现在有一段时间了已经没有跳蚤了  ,https://shop.boqii.com/product-571.html
